COUNTY,MUNICIPALITY,PI,NJPDES,FACILITY,EXISTING FLOW (MGD),DESIGN FLOW (MGD),INCINERATOR OWNER,CLASS A BENEFICIAL USE,CLASS B BENEFICIAL USE,OUT-OF- STATE BENEFICIAL USE,OUT-OF- STATE DISPOSAL,IN-STATE BENEFICIAL USE LANDFILL COVER,OTHER DTW,OUT-OF-STATE BENEFICIAL USE
Morris,Parsippany Troy-Hill,46854,0198072,Rockaway Valley Regional SA,10.9133,12.0000,,,,,,,2211.2,
Morris,Roxbury Twp,46860,0200905,Roxbury Twp- Ajax Terrace STP,1.7101,2.0000,,,,,,,406.3,
Morris,Washington Twp,47067,0212016,Schooley's Mt. STP,0.4192,0.5000,,,,,,,69.5,
Morris,Jefferson Twp,47100,0223701,,0.0203,0.0332,,,,,,,0.9,
Morris,Jefferson Twp,47180,0223735,Jefferson Twp - Water's Edge,0.0605,0.0707,,,,,,,15.7,
Morris,Mt. Olive Twp,47753,0223751,Country Oaks,0.0287,0.0504,,,,,,,7.4,
Morris,Washington Twp,47764,0212091,,0.1150,0.2440,,,,,,,5.6,
Morris,Mount Olive Twp,49319,0223760,Wyndham Point,0.0094,0.0300,,,,,,,3.3,
Morris,Jefferson Twp,49693,0212105,Sunrise at Jefferson,0.0579,0.1251,,,,,,,17.1,
Ocean,Jackson Twp,46484,0223794,Jackson Estates,0.0161,0.0350,,,,,,,3.8,
Ocean,Stafford Twp,46725,0198277,Ocean Co. UA Southern STP,7.1833,20.0000,,1001.8,,,,,,
Ocean,Brick Twp,46726,0198323,,22.2250,32.0000,,2756.1,,,860.2,,7.3,
Ocean,Berkeley Twp,46727,0198439,,21.0150,32.0000,,4380.5,,,,,15.7,
Ocean,Jackson Twp,47021,0223808,Southwind Mobile Homes Village,0.0329,0.0450,,,,,,,0.6,
Ocean,Plumsted Twp,631998,0262145,Plumsted Twp MUA,0.0000,0.6000,,,,,,,0.0,
Ocean,Plumsted Twp,47170,0223786,NJ American Water - Jensen's Deep Run,0.0195,0.0261,,,,,,,5.8,
Passaic,Ringwood Boro,46105,0212130,Bald Eagle Village,0.0599,0.1000,,,,,,,16.0,
Passaic,Ringwood Boro,46692,0223867,Ringwood State Park,0.0096,0.0500,,,,,,,0.0,
Passaic,Pompton Lakes Boro,46793,0200727,Pompton Lakes MUA,0.7972,1.2000,,,,,,,232.1,
Passaic,Ringwood Boro,46846,0223824,Ringwood Acres,0.0193,0.0360,,,,,,,4.8,
Passaic,Wanaque Boro,47057,0200735,Wanaque Valley RSA,1.0317,1.2500,,,,,,,940.8,
Passaic,Wayne Boro,47069,0198315,Wayne Twp- Mountainview,7.9917,13.5000,,,,,,,1073.0,
Passaic,West Milford Twp,47075,0223816,Crescent Park STP,0.0298,0.0640,,,,,,,2.9,
Passaic,West Milford Twp,47076,0223832,Awosting STP,0.0442,0.0650,,,,,,,21.0,
Passaic,West Milford Twp,47077,0212113,Olde Milford Sewage Plant,0.1083,0.1720,,,,,,,44.9,
Passaic,West Milford Twp,47078,0212121,Highview STP,0.0730,0.2000,,,,,,,53.0,
Passaic,West Milford Twp,47192,0223859,Bald Eagle Manor,0.0618,0.0965,,,,,,,21.7,
Salem,Carney`s Point Twp,46181,0200751,Carney's Point STP,0.9818,1.3000,,,,,16.6,,168.5,
Salem,Pittsgrove Twp,46425,0223905,Harding Woods Inc.,0.0462,0.0750,,,,,2.9,,,
Salem,Lower Alloways Creek,46560,0223883,Hancock`s Bridge Village STP,0.0109,0.0500,,,,,1.5,,,
Salem,Lower Alloways Creek,46561,0223891,Canton Village STP,0.0247,0.0500,,,,,1.0,,,
Salem,Penns Grove Boro,46767,0212156,Penns Grove SA,0.3820,0.7500,,,,,70.8,,,
Salem,Pennsville Twp,46769,0200743,Pennsville STP,1.3656,1.8750,,,23.7,,183.6,,,
Salem,Salem City,46867,0200760,City of Salem STP,0.4880,1.4000,,,102.1,,,,,
Salem,Lower Alloways Creek,46815,0256773,PSE&G Nuclear,0.0500,0.0500,,,,,,,0.0,
Salem,Woodstown Boro,47099,0212148,Woodstown STP,0.3151,0.5300,,,122.1,,,,,
Somerset,Bernards Twp,46119,0200930,Bernards Tp. SA-Harrison Brook,1.6723,2.5000,,,,,318.9,,,
Somerset,Bernardsville Boro,46124,0212202,Bernardsville Boro STP,0.6092,0.8000,,,,,,,125.2,
Somerset,Montgomery Twp,46183,0223921,Carrier Foundation,0.0293,0.0500,,,,,,,25.5,
Somerset,Bernardsville Boro,46267,0212164,USVA Hospital STP- Lyons,0.0950,0.4000,,,,,,,19.9,
Somerset,Bedminster Twp,46308,0200778,Environmental Disposal Corp.,1.3500,2.1000,,,,,,,282.2,
Somerset,Montgomery Twp,46511,0223930,Johnson and Johnson,0.0928,0.0500,,,,,,,2.6,
Somerset,Bedminster Twp,46563,0223913,Fiddler's Elbow Country Club,0.0049,0.0300,,,,,,,0.8,
Somerset,Montgomery Twp,46632,0200841,Montgomery Twp- STP #2,0.4542,0.6300,,,,,,,57.6,
Somerset,Montgomery Twp,46634,0212237,Pike Brook STP,0.4086,0.6700,,,,,,,106.5,
Somerset,Montgomery Twp,46636,0212245,Montgomery Twp/Cherry Valley,0.1668,0.2860,,,,,,,29.5,
Somerset,Montgomery Twp,46708,0212172,Skillman Village,0.0640,0.5000,,,,,,,15.4,
Somerset,Bridgewater Twp,46908,0198196,Somerset Raritan Valley SA,19.6350,21.3000,2910.1,,,,,,581.2,
Somerset,Warren Twp,47063,0212181,Warren Twp SA- Stage II STP,0.3774,0.4700,,,,,,,33.5,
Somerset,Warren Twp,47064,0212199,Warren Twp SA- Stage IV STP,0.3243,0.8000,,,,,,,62.8,
Somerset,Warren Twp,47065,0212229,Warren Twp SA- Stage V STP,0.1873,0.3800,,,,,,,101.5,
Somerset,Bedminster Twp,191840,0223956,Lamington Farm,0.0048,0.0296,,,,,,,2.8,
Somerset,Hillsborough Twp,214064,0223964,Hillsborough Chase,0.0041,0.0381,,,,,,,0.9,
Sussex,Andover Twp,46069,0212261,Andover Nursing Home,0.1243,0.1400,,,,,,,8.7,
Sussex,Vernon Twp,46403,0212253,Great Gorge's Resort Hotel,0.0804,0.3500,,,,,,,0.0,
Sussex,Wantage Twp,46437,0224090,High Point Reg'l. High School,0.0048,0.0300,,,,,,,0.3,
Sussex,Newton Town,46523,0224081,Kittatiny Regional Bd. of Ed.,0.0048,0.0450,,,,,,,0.3,
Sussex,Newton Town,46681,0200786,Newton Municipal STP,1.0492,1.4000,,,,,,,243.8,
Sussex,Tranquility,46682,0224031,Garden State Academy,0.0019,0.0225,,,,,,,0.1,
Sussex,Lafayette Twp,46794,0224065,Pope John XXIII Reg. H.S.,0.0023,0.0220,,,,,,,1.0,
Sussex,Wantage Twp,46836,0223999,Regency at Sussex Co.,0.0083,0.0800,,,,,,,0.7,
Sussex,Sparta Twp,46919,0224073,Alpine School Sewage Plant,0.0024,0.0250,,,,,,,0.0,
Sussex,Sparta Twp,46922,0223981,Plaza STP,0.0334,0.0500,,,,,,,11.2,
Sussex,Frankford Twp,46962,0223972,Homestead,0.0170,0.0500,,,,,,,4.1,
Sussex,Hampton Twp,46964,0224006,Hampton Commons STP,0.0377,0.0500,,,,,,,7.5,
Sussex,Hardyston Twp,46965,0200948,,1.7327,2.5000,,,,,,,984.1,
Sussex,Vernon Twp,47048,0224057,Vernon Tp/Lounsb. Hollow Sch.,0.0092,0.0320,,,,,,,0.1,
Sussex,Fredon Twp,47792,0224049,,0.0107,0.0348,,,,,,,1.7,
Sussex,Hampton Twp,49826,0236926,Martin Property,0.0041,0.1026,,,,,,,4.4,
Sussex,Frankford Twp,216237,0212288,SCMUA Branchville,0.0542,0.2000,,,,,,,8.3,
Sussex,Sparta Twp,645193,0232220,North Village @ Sparta,0.0071,0.1200,,,,,,,9.6,
Union,Berkeley Heights Twp,46122,0200794,Berkeley Heights STP,1.5103,3.1000,,,,,,,136.7,
Union,Elizabeth City,46512,0198153,,63.3406,85.0000,,599.4,,3830.6,,,,
Union,Linden City,46551,0198218,,11.0654,17.0000,,,,,,,959.0,
Union,Rahway,46820,0198129,Rahway Valley SA,28.6500,40.0000,,,,,2637.2,,,
Warren,Blairstown Twp,46133,0224138,Blair Academy STP,0.0282,0.0500,,,,,,,8.1,
Warren,Washington Twp,46533,0224103,Washington Twp Shopping Center,0.0080,0.0220,,,,,,,27.5,
Warren,Allamuchy Twp,46776,0212296,Allamuchy STP,0.2829,0.6000,,,,,,,75.0,
Warren,Phillipsburg Town,46785,0200808,Phillipsburg STP,2.2200,3.5000,,,,,,,756.6,
Warren,Belvidere Town,47059,0212300,WC(PR)MUA- Belvidere Area STP,0.3122,0.5000,,,,,,,109.5,
Warren,Oxford Twp,47060,0212318,WC(PR)MUA- Oxford Area STP,0.2974,0.5000,,,,,,,54.1,
Warren,Washington Boro,47066,0200956,Washington Boro,0.7598,1.5000,,,,,,,61.6,
Warren,Knowlton Twp,49801,0212326,Knowlton WWTP,0.0210,0.1400,,,,,,,1.9,
Warren,Washington Boro,52623,0224111,Hawk Pointe Golf Course,0.0136,0.0820,,,,,,,4.3,
